dataset,n_trials,rep,tps_target,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33,mdsdt_ok,mdsdt_secs,best_model,mdsdt_zx_0,mdsdt_zx_1,mdsdt_zx_2,mdsdt_zx_3,mdsdt_zy_0,mdsdt_zy_1,mdsdt_zy_2,mdsdt_zy_3,mdsdt_rho_0,mdsdt_rho_1,mdsdt_rho_2,mdsdt_rho_3,grtools_ok,grtools_secs,grtools_model,grtools_conv,grtools_zx_0,grtools_zx_1,grtools_zx_2,grtools_zx_3,grtools_zy_0,grtools_zy_1,grtools_zy_2,grtools_zy_3,grtools_rho_0,grtools_rho_1,grtools_rho_2,grtools_rho_3
thomas01a,1012,0,NA,83,112,47,11,38,154,28,33,15,27,117,94,6,36,75,136,TRUE,0.07507991790771484,PS(A)_PS(B)_same_rho,-0.7008926293299453,-0.7008926293299453,0.9331337605278753,0.9331337605278753,-0.04822173478279713,0.5446541763893965,-0.04822173478279713,0.5446541763893965,-0.397041679511917,-0.397041679511917,-0.397041679511917,-0.397041679511917,FALSE,24.887627601623535,"GRT-{1_RHO, PS, DS}",52,-0.7054495169534717,-0.7054495169534717,0.9617410422403806,0.9617410422403806,-0.050492387142591265,0.5524713799431537,-0.050492387142591265,0.5524713799431537,-0.407575228960583,-0.407575228960583,-0.407575228960583,-0.407575228960583
thomas01b,1012,0,NA,149,64,33,7,78,142,10,23,20,15,149,69,7,25,80,141,TRUE,0.06798338890075684,PS(A)_PS(B)_same_rho,-1.0390810853392018,-1.0390810853392018,1.09267429764291,1.09267429764291,-0.49738062610522776,0.3889862640511197,-0.49738062610522776,0.3889862640511197,-0.12441126316367178,-0.12441126316367178,-0.12441126316367178,-0.12441126316367178,FALSE,23.94121265411377,"GRT-{PI, PS, DS}",52,-1.0660374785033908,-1.0660374785033908,1.1137064482002894,1.1137064482002894,-0.4889042433195382,0.38039592250843357,-0.4889042433195382,0.38039592250843357,0,0,0,0
silbert09a,1000,0,NA,159,33,46,12,20,186,5,39,21,9,191,29,3,22,22,203,TRUE,0.06470584869384766,PS(A)_PS(B)_all,-0.8110745942501834,-0.8110745942501834,1.1944973810353638,1.1944973810353638,-0.9491984592699166,1.2464522061072636,-0.9491984592699166,1.2464522061072636,0,0,0,0,FALSE,25.259603023529053,"GRT-{PI, PS, DS}",52,-0.8358904460610201,-0.8358904460610201,1.2200409320634895,1.2200409320634895,-0.9698786288326544,1.283906603923192,-0.9698786288326544,1.283906603923192,0,0,0,0
silbert09b,1000,0,NA,186,22,41,1,16,180,26,28,42,32,149,27,1,28,13,208,TRUE,0.10162520408630371,-_-_none,-0.9414843746793543,-0.7705986158476441,0.5266665089929368,1.16481351211052,-1.2905770056397374,0.9414843746793542,-0.7057960792996291,1.530131219649769,-0.2430567698304581,-0.6817814495238811,-0.4811932207918367,0.007376945288811454,FALSE,36.89612913131714,"GRT-{1_RHO, DS}",52,-1.0079823317316308,-0.7939017291192219,0.5430903213718348,1.1844358824137293,-1.261971296885029,0.9750956727992812,-0.7327831958471364,1.5300990551754428,-0.4649030633733793,-0.4649030633733793,-0.4649030633733793,-0.4649030633733793
silbert12,800,0,NA,189,9,2,0,5,146,1,48,2,0,195,3,0,28,1,171,TRUE,0.12996411323547363,-_-_all,-2.061916500809462,-0.6744897501960819,2.0619165008094624,1.0491313979639716,-1.6079636631803351,1.7598610279335336,-1.9684210848744939,2.1779230690821847,0,0,0,0,FALSE,34.35123419761658,"GRT-{PI, PS(B), DS}",52,-2.235340135018334,-0.6860703874170999,2.2574452457108674,1.0798335293409398,-1.8522539940296534,2.4603294065766326,-1.8522539940296534,2.4603294065766326,0,0,0,0
